region,efficiency_change,clustering_change,density_change,component_change
Anterodorsal preoptic nucleus,0.001245067858619924,-9.961405131548548e-05,0.004281017883432808,-1
Anteroventral preoptic nucleus,0.0011084182881406666,-5.5088792549998725e-05,0.003932949738739576,-1
Anteroventral periventricular nucleus,0.0007257994907987756,-5.013520571921353e-05,0.002958358933598605,-1
Dorsomedial nucleus of the hypothalamus,0.0009307738465175868,-4.0581968476125945e-05,0.003480461150638452,-1
Median preoptic nucleus,0.0009034439324218554,-3.618937328472509e-05,0.0034108475216997293,-1
Medial preoptic area,0.0009171088894697961,-4.261763432524768e-05,0.0034456543361690906,-1
Vascular organ of the lamina terminalis,0.0009307738465175868,-2.1451461005854607e-05,0.003480461150638452,-1
Posterodorsal preoptic nucleus,0.0014363772572909446,-0.00018193501708225495,0.004768313286003484,-1
Parastrial nucleus,0.0013133926438596278,-0.00012092569175802505,0.004455051955779423,-1
"Periventricular hypothalamic nucleus, posterior part",0.0006984695767028942,-4.069813752312854e-05,0.0028887453046598822,-1
"Periventricular hypothalamic nucleus, preoptic part",0.0008351191471821516,-3.763554969319101e-05,0.0032368134493531136,-1
Subparaventricular zone,0.0012177379445240425,-8.640982706348459e-05,0.004211404254494276,-1
Suprachiasmatic nucleus,0.0011767430733803702,-7.984091331149373e-05,0.004106983811086192,-1
Subfornical organ,0.0008214541901342109,-2.324585934534539e-05,0.003202006634883752,-1
Ventromedial preoptic nucleus,0.0010537584599490536,-2.6235415810667052e-05,0.0037937224808623216,-1
Ventrolateral preoptic nucleus,0.0006848046196549533,-4.866546205303582e-05,0.002853938490190521,-1
Anterior hypothalamic nucleus,-0.002225831231553426,5.697176120806376e-05,-0.007448878592729545,0
Lateral mammillary nucleus,0.0006848046196549533,-5.611588194980485e-05,0.002853938490190521,-1
Medial mammillary nucleus,0.0006301447914633404,-6.185863464370523e-05,0.0027147112323132666,-1
Supramammillary nucleus,0.0006164798344153997,-5.9550052890364754e-05,0.002679904417843905,-1
"Tuberomammillary nucleus, dorsal part",0.0009717687176614091,-4.347568649893789e-05,0.003584881594046345,-1
"Tuberomammillary nucleus, ventral part",-0.002225831231553426,5.131887895965621e-05,-0.008284242139993453,0
Medial preoptic nucleus,-0.002212166274505485,4.772521559166296e-05,-0.007031196819097782,0
Dorsal premammillary nucleus,0.0010674234169969943,-6.792520112556649e-05,0.003828529295331683,-1
Ventral premammillary nucleus,-0.002225831231553426,4.968016944452488e-05,-0.007866560366361498,0
"Paraventricular hypothalamic nucleus, descending division",0.0008624490612780332,-4.422516009545705e-05,0.0033064270782918364,-1
Ventromedial hypothalamic nucleus,0.0010127635888052314,-4.3778329595681145e-05,0.0036893020374544287,-1
Posterior hypothalamic nucleus,-0.0021848363604096035,4.597750536251709e-05,-0.007936173995300222,0
Lateral hypothalamic area,-0.0022394961886012163,5.4009347235530745e-05,-0.00821462851105473,0
Lateral preoptic area,0.0008487841042300923,-3.195844073050102e-05,0.003271620263822475,-1
Preparasubthalamic nucleus,0.0011084182881406666,-5.337165277429887e-05,0.003932949738739576,-1
Parasubthalamic nucleus,0.0009171088894697961,-9.184134069031303e-06,0.0034456543361690906,-1
Perifornical nucleus,0.0009854336747093498,-4.185011611975372e-05,0.0036196884085157063,-1
Retrochiasmatic area,0.0008624490612780332,-3.782552667509893e-05,0.0033064270782918364,-1
Subthalamic nucleus,0.0008761140183259739,-3.716114811749411e-05,0.0033412338927610065,-1
Tuberal nucleus,-0.0006270312569460083,1.1019720969910638e-05,-0.0031676404130026856,0
Zona incerta,0.0006848046196549533,-4.788512883218926e-05,0.002853938490190521,-1
Median eminence,0.0006574747055590719,-5.224631522889337e-05,0.0027843248612519893,-1
