start_region,step,nodes_removed,efficiency,components
posteromedial visual area,3,4,0.7348550012288031,209
posteromedial visual area,4,5,0.7331498886965125,209
posteromedial visual area,5,6,0.7314593921792345,209
posteromedial visual area,6,7,0.7297317047708529,209
Laterointermediate area,1,2,0.7382064503083612,209
Laterointermediate area,2,3,0.7365336480739098,209
Laterointermediate area,3,4,0.7348550012288031,209
Laterointermediate area,4,5,0.7331498886965125,209
Laterointermediate area,5,6,0.7314593921792345,209
Laterointermediate area,6,7,0.7297317047708529,209
Laterointermediate area,7,8,0.7279872231328542,209
Laterointermediate area,8,9,0.7262151529252506,209
Laterointermediate area,9,10,0.7244576440782611,209
Laterointermediate area,10,11,0.7226722382942248,209
Postrhinal area,1,2,0.7382064503083612,209
Postrhinal area,2,3,0.7365336480739098,209
Postrhinal area,3,4,0.7348550012288031,209
Postrhinal area,4,5,0.7331498886965125,209
Postrhinal area,5,6,0.7314593921792345,209
Postrhinal area,6,7,0.7297317047708529,209
Postrhinal area,7,8,0.7279872231328542,209
Postrhinal area,8,9,0.7262151529252506,209
Postrhinal area,9,10,0.7244576440782611,209
Postrhinal area,10,11,0.7226722382942248,209
"Anterior cingulate area, dorsal part",1,2,0.7382064503083612,209
"Anterior cingulate area, dorsal part",2,3,0.7365336480739098,209
"Anterior cingulate area, dorsal part",3,4,0.7348550012288031,209
"Anterior cingulate area, dorsal part",4,5,0.7331498886965125,209
"Anterior cingulate area, dorsal part",5,6,0.7314593921792345,209
"Anterior cingulate area, dorsal part",6,7,0.7297317047708529,209
"Anterior cingulate area, dorsal part",7,8,0.7279872231328542,209
"Anterior cingulate area, dorsal part",8,9,0.7262151529252506,209
"Anterior cingulate area, dorsal part",9,10,0.7244576440782611,209
"Anterior cingulate area, dorsal part",10,11,0.7226722382942248,209
"Anterior cingulate area, ventral part",1,2,0.7382064503083612,209
"Anterior cingulate area, ventral part",2,3,0.7365336480739098,209
"Anterior cingulate area, ventral part",3,4,0.7348550012288031,209
"Anterior cingulate area, ventral part",4,5,0.7331498886965125,209
"Anterior cingulate area, ventral part",5,6,0.7314593921792345,209
"Anterior cingulate area, ventral part",6,7,0.7297317047708529,209
"Anterior cingulate area, ventral part",7,8,0.7279872231328542,209
"Anterior cingulate area, ventral part",8,9,0.7262151529252506,209
"Anterior cingulate area, ventral part",9,10,0.7244576440782611,209
"Anterior cingulate area, ventral part",10,11,0.7226722382942248,209
Prelimbic area,1,2,0.7382064503083612,209
Prelimbic area,2,3,0.7365336480739098,209
Prelimbic area,3,4,0.7348550012288031,209
Prelimbic area,4,5,0.7331498886965125,209
Prelimbic area,5,6,0.7314593921792345,209
Prelimbic area,6,7,0.7297317047708529,209
Prelimbic area,7,8,0.7279872231328542,209
"Orbital area, medial part",1,2,0.7382064503083612,209
"Orbital area, medial part",2,3,0.7365336480739098,209
"Orbital area, medial part",3,4,0.7348550012288031,209
"Orbital area, medial part",4,5,0.7331498886965125,209
"Orbital area, medial part",5,6,0.7314593921792345,209
"Orbital area, medial part",6,7,0.7297317047708529,209
"Orbital area, medial part",7,8,0.7279872231328542,209
"Orbital area, medial part",8,9,0.7262151529252506,209
"Orbital area, medial part",9,10,0.7244576440782611,209
"Orbital area, medial part",10,11,0.7226722382942248,209
"Orbital area, ventrolateral part",1,2,0.7382064503083612,209
"Orbital area, ventrolateral part",2,3,0.7365641724832624,209
"Orbital area, ventrolateral part",3,4,0.7348857213074466,209
"Orbital area, ventrolateral part",4,5,0.7331911122104048,209
"Orbital area, ventrolateral part",5,6,0.7315319987553158,209
"Orbital area, ventrolateral part",6,7,0.7298778578139681,209
"Orbital area, ventrolateral part",7,8,0.7281763543899467,209
"Orbital area, ventrolateral part",8,9,0.726468970768645,209
"Orbital area, ventrolateral part",9,10,0.7247876349236763,209
"Orbital area, ventrolateral part",10,11,0.7230686810243223,209
"Agranular insular area, dorsal part",1,2,0.7382064503083612,209
"Agranular insular area, dorsal part",2,3,0.7365336480739098,209
"Agranular insular area, dorsal part",3,4,0.7348550012288031,209
"Agranular insular area, dorsal part",4,5,0.7331498886965125,209
"Agranular insular area, dorsal part",5,6,0.7314593921792345,209
"Agranular insular area, dorsal part",6,7,0.7297317047708529,209
"Agranular insular area, dorsal part",7,8,0.7279872231328542,209
"Agranular insular area, dorsal part",8,9,0.7262151529252506,209
"Agranular insular area, dorsal part",9,10,0.7244576440782611,209
"Agranular insular area, dorsal part",10,11,0.7226722382942248,209
"Agranular insular area, posterior part",1,2,0.7382064503083612,209
"Agranular insular area, posterior part",2,3,0.7365336480739098,209
"Agranular insular area, posterior part",3,4,0.7348550012288031,209
"Agranular insular area, posterior part",4,5,0.7331808063319317,209
"Agranular insular area, posterior part",5,6,0.7314697645472461,209
"Agranular insular area, posterior part",6,7,0.7297421442739326,209
"Agranular insular area, posterior part",7,8,0.7279872231328542,209
"Agranular insular area, posterior part",8,9,0.726246880155675,209
"Agranular insular area, posterior part",9,10,0.7244789338102233,209
"Agranular insular area, posterior part",10,11,0.7226722382942248,209
"Agranular insular area, ventral part",1,2,0.7382064503083612,209
"Agranular insular area, ventral part",2,3,0.7365336480739098,209
"Agranular insular area, ventral part",3,4,0.7348550012288031,209
"Agranular insular area, ventral part",4,5,0.7331498886965125,209
"Agranular insular area, ventral part",5,6,0.7314593921792345,209
"Agranular insular area, ventral part",6,7,0.7297317047708529,209
"Agranular insular area, ventral part",7,8,0.7279872231328542,209
"Agranular insular area, ventral part",8,9,0.7262151529252506,209
"Agranular insular area, ventral part",9,10,0.7244576440782611,209
"Agranular insular area, ventral part",10,11,0.7226722382942248,209
"Retrosplenial area, lateral agranular part",1,2,0.7382064503083612,209
"Retrosplenial area, lateral agranular part",2,3,0.7365336480739098,209
"Retrosplenial area, lateral agranular part",3,4,0.7348550012288031,209
"Retrosplenial area, lateral agranular part",4,5,0.7331498886965125,209
"Retrosplenial area, lateral agranular part",5,6,0.7314593921792345,209
"Retrosplenial area, lateral agranular part",6,7,0.7297317047708529,209
"Retrosplenial area, lateral agranular part",7,8,0.7279872231328542,209
"Retrosplenial area, lateral agranular part",8,9,0.7262151529252506,209
"Retrosplenial area, lateral agranular part",9,10,0.7244576440782611,209
"Retrosplenial area, lateral agranular part",10,11,0.7226722382942248,209
"Retrosplenial area, dorsal part",1,2,0.7382064503083612,209
"Retrosplenial area, dorsal part",2,3,0.7365336480739098,209
"Retrosplenial area, dorsal part",3,4,0.7348550012288031,209
"Retrosplenial area, dorsal part",4,5,0.7331498886965125,209
"Retrosplenial area, dorsal part",5,6,0.7314593921792345,209
"Retrosplenial area, dorsal part",6,7,0.7297317047708529,209
"Retrosplenial area, dorsal part",7,8,0.7279872231328542,209
"Retrosplenial area, dorsal part",8,9,0.7262151529252506,209
"Retrosplenial area, dorsal part",9,10,0.7244576440782611,209
"Retrosplenial area, dorsal part",10,11,0.7226722382942248,209
"Retrosplenial area, ventral part",1,2,0.7382064503083612,209
"Retrosplenial area, ventral part",2,3,0.7365336480739098,209
"Retrosplenial area, ventral part",3,4,0.7348550012288031,209
"Retrosplenial area, ventral part",4,5,0.7331498886965125,209
"Retrosplenial area, ventral part",5,6,0.7314593921792345,209
"Retrosplenial area, ventral part",6,7,0.7297317047708529,209
"Retrosplenial area, ventral part",7,8,0.7279872231328542,209
"Retrosplenial area, ventral part",8,9,0.7262151529252506,209
"Retrosplenial area, ventral part",9,10,0.7244576440782611,209
"Retrosplenial area, ventral part",10,11,0.7226722382942248,209
Anterior area,1,2,0.7382064503083612,209
Anterior area,2,3,0.7365336480739098,209
Anterior area,3,4,0.7348550012288031,209
Anterior area,4,5,0.7331498886965125,209
Anterior area,5,6,0.7314593921792345,209
Anterior area,6,7,0.7297317047708529,209
Anterior area,7,8,0.7279872231328542,209
Anterior area,8,9,0.7262151529252506,209
Anterior area,9,10,0.7244576440782611,209
Anterior area,10,11,0.7226722382942248,209
Rostrolateral visual area,1,2,0.7382064503083612,209
Rostrolateral visual area,2,3,0.7365336480739098,209
Rostrolateral visual area,3,4,0.7348550012288031,209
Rostrolateral visual area,4,5,0.7331498886965125,209
Rostrolateral visual area,5,6,0.7314593921792345,209
